Suite,Attack Type,Utility Count,Utility Total,Utility Ratio,Security Count,Security Total,Security Ratio,Utility,Security
banking,type-i-a,7,16,0.4375,14,16,0.875,7/16=0.4375,14/16=0.8750
banking,type-i-b,27,32,0.84375,13,32,0.40625,27/32=0.8438,13/32=0.4062
banking,type-ii,31,128,0.2421875,101,128,0.7890625,31/128=0.2422,101/128=0.7891
banking,type-iii-a,20,96,0.20833333333333334,75,96,0.78125,20/96=0.2083,75/96=0.7812
slack,type-i-a,0,21,0.0,18,21,0.8571428571428571,0/21=0.0000,18/21=0.8571
slack,type-i-b,26,32,0.8125,28,32,0.875,26/32=0.8125,28/32=0.8750
slack,type-ii,31,77,0.4025974025974026,52,77,0.6753246753246753,31/77=0.4026,52/77=0.6753
slack,type-iii-a,7,35,0.2,23,35,0.6571428571428571,7/35=0.2000,23/35=0.6571
travel,type-i-a,0,20,0.0,18,20,0.9,0/20=0.0000,18/20=0.9000
travel,type-i-b,6,40,0.15,33,40,0.825,6/40=0.1500,33/40=0.8250
travel,type-ii,13,160,0.08125,106,160,0.6625,13/160=0.0813,106/160=0.6625
travel,type-iii-a,5,100,0.05,53,100,0.53,5/100=0.0500,53/100=0.5300
workspace,type-i-a,25,117,0.21367521367521367,104,117,0.8888888888888888,25/117=0.2137,104/117=0.8889
workspace,type-i-b,73,80,0.9125,0,80,0.0,73/80=0.9125,0/80=0.0000
workspace,type-ii,49,91,0.5384615384615384,34,91,0.37362637362637363,49/91=0.5385,34/91=0.3736
workspace,type-iii-a,13,26,0.5,9,26,0.34615384615384615,13/26=0.5000,9/26=0.3462
